"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"D,9,EB","D","9","EB","NonNative","34","3","4","Ba2-Pa2","2907.58",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","NonNative","32","3","2","Ba3-Ba2","-3604.70",0,"Same","Different","False+"
"D,9,EB","D","9","EB","NonNative","22","2","2","Ba5-Ba2","3102.03",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","21","2","1","Pa5-Pa2","3828.38",1,"Same","Same","CR"
"D,9,EB","D","9","EB","NonNative","23","2","3","Pa4-Ba3","2929.98",1,"Different","Different","Hit"
"D,9,EB","D","9","EB","NonNative","24","2","4","Ba3-Pa4","3817.46",1,"Different","Different","Hit"
"C,8,OH","C","8","OH","NonNative","42","4","2","Ba5-Ba3","4308.46",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","41","4","1","Pa5-Pa4","3319.09",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","44","4","4","Ba3-Pa4","-3248.98",0,"Different","Same","Miss"
"C,8,OH","C","8","OH","NonNative","43","4","3","Pa2-Ba3","-3153.53",0,"Different","Same","Miss"
"C,8,OH","C","8","OH","NonNative","13","1","3","Pa2-Ba2","-3136.39",0,"Different","Same","Miss"
"C,8,OH","C","8","OH","NonNative","11","1","1","Pa2-Pa4","3152.75",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","14","1","4","Ba5-Pa4","-4200.29",0,"Different","Same","Miss"
"C,8,OH","C","8","OH","NonNative","12","1","2","Ba2-Ba3","3661.55",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","23","2","3","Pa4-Ba3","-3305.38",0,"Different","Same","Miss"
"C,8,OH","C","8","OH","NonNative","21","2","1","Pa5-Pa2","3344.74",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","22","2","2","Ba5-Ba2","3633.20",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","24","2","4","Ba3-Pa4","-3378.50",0,"Different","Same","Miss"
"C,8,OH","C","8","OH","NonNative","31","3","1","Pa4-Pa2","3014.53",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","32","3","2","Ba3-Ba2","3216.38",1,"Same","Same","CR"
"C,8,OH","C","8","OH","NonNative","34","3","4","Ba2-Pa2","-3296.38",0,"Different","Same","Miss"
"C,8,OH","C","8","OH","NonNative","33","3","3","Pa5-Ba5","-3302.51",0,"Different","Same","Miss"
"C,6,BS","C","6","BS","NonNative","14","1","4","Ba5-Pa4","4622.19",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","NonNative","12","1","2","Ba2-Ba3","3533.20",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","11","1","1","Pa2-Pa4","3316.72",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","13","1","3","Pa2-Ba2","3327.79",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","NonNative","33","3","3","Pa5-Ba5","3493.20",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","NonNative","32","3","2","Ba3-Ba2","6819.16",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","31","3","1","Pa4-Pa2","3455.59",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","34","3","4","Ba2-Pa2","3863.79",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","NonNative","42","4","2","Ba5-Ba3","4219.69",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","43","4","3","Pa2-Ba3","3477.82",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","NonNative","41","4","1","Pa5-Pa4","3594.72",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","44","4","4","Ba3-Pa4","4761.91",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","NonNative","21","2","1","Pa5-Pa2","3542.96",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","23","2","3","Pa4-Ba3","3477.77",1,"Different","Different","Hit"
"C,6,BS","C","6","BS","NonNative","22","2","2","Ba5-Ba2","4093.01",1,"Same","Same","CR"
"C,6,BS","C","6","BS","NonNative","24","2","4","Ba3-Pa4","3755.13",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","NonNative","23","2","3","Pa4-Ba3","-5231.50",0,"Different","Same","Miss"
"D,15,VC","D","15","VC","NonNative","22","2","2","Ba5-Ba2","3889.49",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","24","2","4","Ba3-Pa4","3518.60",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","NonNative","21","2","1","Pa5-Pa2","3183.76",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","11","1","1","Pa2-Pa4","3388.98",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","14","1","4","Ba5-Pa4","3738.32",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","NonNative","12","1","2","Ba2-Ba3","3385.11",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","13","1","3","Pa2-Ba2","3270.11",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","NonNative","42","4","2","Ba5-Ba3","3845.70",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","43","4","3","Pa2-Ba3","3894.79",1,"Different","Different","Hit"
